"variable","label"
"study","Studiennummer"
"version","GESIS Archivversion"
"doi","Digital Object Identifier"
"field_start","Beginn Erhebungszeitraum"
"field_end","Ende Erhebungszeitraum"
"sample","Stichprobe"
"lfdn","Laufende Nummer GLES Panel/ WKP 2025"
"access_panel","Panelzugehoerigkeit der Befragten"
"ostwest","Ost/West (Zuordnung von Berliner:innen zu Ostdeutschland)"
"kpa5_wei_mz","Sozial-/regionalstrukturelles Gewicht Welle A5 (MZ2023)"
"kpa5_2290s","Geburtsjahr"
"kpa5_2280","Geschlecht"
"kpa5_2320","Schulabschluss"
"kpa5_2321","Angestrebter Schulabschluss"
"kpa5_2601","Bundesland"
"kpa5_010","Politisches Interesse, allgemein"
"kpa5_020","Demokratiezufriedenheit"
"kpa5_170","Wahlbeteiligungsabsicht"
"kpa5_190aa","Beabsichtigte Stimmabgabe: Erststimme (Version A)"
"kpa5_190ab","Beabsichtigte Stimmabgabe: Erststimme (Version B)"
"kpa5_190ba","Beabsichtigte Stimmabgabe: Zweitstimme (Version A)"
"kpa5_190bb","Beabsichtigte Stimmabgabe: Zweitstimme (Version B)"
"kpa5_221c","Consideration Set: SPD"
"kpa5_221a","Consideration Set: CDU/CSU"
"kpa5_221e","Consideration Set: GRUENE"
"kpa5_221d","Consideration Set: FDP"
"kpa5_221i","Consideration Set: AfD"
"kpa5_221f","Consideration Set: DIE LINKE"
"kpa5_221m","Consideration Set: BSW"
"kpa5_221g","Consideration Set: andere Partei"
"kpa5_211c","Consideration Set, hypothetisch: SPD"
"kpa5_211a","Consideration Set, hypothetisch: CDU/CSU"
"kpa5_211e","Consideration Set, hypothetisch: GRUENE"
"kpa5_211d","Consideration Set, hypothetisch: FDP"
"kpa5_211i","Consideration Set, hypothetisch: AfD"
"kpa5_211f","Consideration Set, hypothetisch: DIE LINKE"
"kpa5_211m","Consideration Set, hypothetisch: BSW"
"kpa5_211g","Consideration Set, hypothetisch: andere Partei"
"kpa5_850a","Loesungskompetenz: Wichtigstes Problem (Version A)"
"kpa5_850b","Loesungskompetenz: Wichtigstes Problem (Version B)"
"kpa5_870a","Loesungskompetenz: Zweitwichtigstes Problem (Version A)"
"kpa5_870b","Loesungskompetenz: Zweitwichtigstes Problem (Version B)"
